dataset_id_1,column_name_1,dataset_id_2,column_name_2,score,method
ic3t-wcy2,,tbgj-tdd6,,0.7871,embedding
ic3t-wcy2,,usep-8jbt,,0.7557,embedding
ic3t-wcy2,,i4kb-6ab6,,0.8178,embedding
ic3t-wcy2,,ud4g-9x9z,,0.7915,embedding
ic3t-wcy2,,rvih-nhyn,,0.8742,embedding
ic3t-wcy2,,ygpa-z7cr,,0.8388,embedding
ic3t-wcy2,,pkdm-hqz6,,0.8255,embedding
ic3t-wcy2,,tjus-cn27,,0.8284,embedding
ic3t-wcy2,,nyis-y4yr,,0.8875,embedding
ic3t-wcy2,,c5vm-g2dk,,0.7954,embedding
ic3t-wcy2,,6kbp-uz6m,,0.7728,embedding
ic3t-wcy2,,kfp4-dz4h,,0.8449,embedding
ic3t-wcy2,,w9ei-idxz,,0.777,embedding
ic3t-wcy2,,4j29-i5ry,,0.8455,embedding
ic3t-wcy2,,bzxi-2tsw,,0.8325,embedding
ic3t-wcy2,,p4u2-3jgx,,0.8217,embedding
ic3t-wcy2,,ssq6-fkht,,0.8178,embedding
ic3t-wcy2,,crns-fw6u,,0.8398,embedding
ic3t-wcy2,,xnfm-u3k5,,0.7779,embedding
ic3t-wcy2,,3ub5-4ph8,,0.8182,embedding
ic3t-wcy2,,9d9t-bmk7,,0.8156,embedding
ic3t-wcy2,,jjja-shxy,,0.7623,embedding
ic3t-wcy2,,bi53-yph3,,0.7997,embedding
ic3t-wcy2,,yvxd-uipr,,0.8332,embedding
ic3t-wcy2,,3rfa-3xsf,,0.7813,embedding
ic3t-wcy2,,bsin-59hv,,0.7961,embedding
ic3t-wcy2,,n6c5-95xh,,0.8013,embedding
ic3t-wcy2,,855j-jady,,0.7751,embedding
ic3t-wcy2,,8znf-7b2c,,0.7635,embedding
ic3t-wcy2,,5ery-qagt,,0.8446,embedding
ic3t-wcy2,,fn4k-qyk2,,0.8395,embedding
ic3t-wcy2,,8qgy-ka3v,,0.7955,embedding
ic3t-wcy2,,u35m-9t32,,0.8183,embedding
ic3t-wcy2,,iz2q-9x8d,,0.9467,embedding
ic3t-wcy2,,pqg4-dm6b,,0.8127,embedding
