dataset_id_1,column_name_1,dataset_id_2,column_name_2,score,method
4dx7-axux,,shpd-5q9m,,0.8427,embedding
4dx7-axux,,tfbb-gszk,,0.8608,embedding
4dx7-axux,,yhdx-itry,,0.8174,embedding
4dx7-axux,,qrb4-aqtx,,0.8778,embedding
4dx7-axux,,ufxk-pq9j,,0.7766,embedding
4dx7-axux,,3bkg-usya,,0.8163,embedding
4dx7-axux,,fn6f-htvy,,0.7619,embedding
4dx7-axux,,rjkp-yttg,,0.7775,embedding
4dx7-axux,,a94k-kjys,,0.8114,embedding
4dx7-axux,,mf9g-zhbw,,0.8162,embedding
4dx7-axux,,r4c5-ndkx,,0.8085,embedding
4dx7-axux,,gy3q-4tzp,,0.8208,embedding
4dx7-axux,,5npv-j6gn,,0.8295,embedding
4dx7-axux,,xrwg-eczf,,0.8391,embedding
4dx7-axux,,bug8-9f3g,,0.7884,embedding
4dx7-axux,,sejx-2gn3,,0.7717,embedding
4dx7-axux,,a3nt-yts4,,0.8315,embedding
4dx7-axux,,ybdk-jmnn,,0.8533,embedding
4dx7-axux,,pwts-g83w,,0.8435,embedding
4dx7-axux,,rsnd-bbih,,0.8488,embedding
4dx7-axux,,r465-fr2q,,0.7778,embedding
4dx7-axux,,br6q-ssj3,,0.8413,embedding
4dx7-axux,,97zg-4p9t,,0.8344,embedding
4dx7-axux,,bbtf-6p3c,,0.8208,embedding
4dx7-axux,,5dck-9m6g,,0.7964,embedding
4dx7-axux,,37it-gmcp,,0.7789,embedding
4dx7-axux,,qy7q-cb9e,,0.8348,embedding
4dx7-axux,,5ar6-qxhs,,0.8695,embedding
4dx7-axux,,b4dv-8mq4,,0.7709,embedding
4dx7-axux,,xphq-immx,,0.852,embedding
4dx7-axux,,h4mf-f24e,,0.8076,embedding
4dx7-axux,,9umc-3b2y,,0.8555,embedding
4dx7-axux,,iaig-3vs5,,0.8919,embedding
4dx7-axux,,mebz-ditc,,0.7852,embedding
4dx7-axux,,cmni-fvnx,,0.8574,embedding
4dx7-axux,,urzf-q2g5,,0.8393,embedding
4dx7-axux,,ge3f-inui,,0.7805,embedding
4dx7-axux,,rma9-fm39,,0.8612,embedding
4dx7-axux,,p5md-weyf,,0.7892,embedding
4dx7-axux,,d54t-ywim,,0.8175,embedding
4dx7-axux,,68k5-hdzw,,0.7999,embedding
4dx7-axux,,8s5k-n45n,,0.7846,embedding
4dx7-axux,,hv9n-xgy4,,0.823,embedding
4dx7-axux,,xggi-kgx9,,0.8595,embedding
4dx7-axux,,pfn4-vjwr,,0.8206,embedding
4dx7-axux,,v8i9-yfpr,,0.8343,embedding
4dx7-axux,,67g2-p84d,,0.8501,embedding
4dx7-axux,,2er2-jqsx,,0.8119,embedding
4dx7-axux,,t4re-ksn6,,0.7738,embedding
4dx7-axux,,cfzn-4iza,,0.7697,embedding
4dx7-axux,,tvfr-dhen,,0.7654,embedding
4dx7-axux,,66yh-nemi,,0.8508,embedding
4dx7-axux,,qxzj-vkn2,,0.783,embedding
4dx7-axux,,m4ph-grrm,,0.7875,embedding
4dx7-axux,,auuc-fqzi,,0.856,embedding
4dx7-axux,,t4f2-8md7,,0.788,embedding
4dx7-axux,,ckaz-6gaa,,0.7566,embedding
4dx7-axux,,8gpu-s594,,0.7981,embedding
4dx7-axux,,eyb2-p5s8,,0.793,embedding
4dx7-axux,,f72e-3i4c,,0.8636,embedding
4dx7-axux,,3spy-rjpw,,0.8564,embedding
4dx7-axux,,9f5n-qdib,,0.8469,embedding
4dx7-axux,,fp78-wt5b,,0.8151,embedding
4dx7-axux,,7su9-xgtn,,0.859,embedding
4dx7-axux,,8z5h-tzdr,,0.8613,embedding
4dx7-axux,,29km-avyc,,0.8355,embedding
4dx7-axux,,hxx3-bwgv,,0.8383,embedding
4dx7-axux,,yj3u-pw36,,0.8579,embedding
4dx7-axux,,tsy7-gcm8,,0.8468,embedding
4dx7-axux,,p36g-evi5,,0.8415,embedding
4dx7-axux,,mdgu-ar69,,0.7886,embedding
4dx7-axux,,gnyq-kf2y,,0.7897,embedding
4dx7-axux,,yv4m-nu6d,,0.818,embedding
4dx7-axux,,jign-uhe6,,0.8706,embedding
4dx7-axux,,e7es-jx5j,,0.8397,embedding
4dx7-axux,,3m3d-zzwn,,0.8084,embedding
4dx7-axux,,8kvz-b7tv,,0.8215,embedding
4dx7-axux,,yunp-vs8g,,0.8083,embedding
4dx7-axux,,xs5m-jrpm,,0.8135,embedding
4dx7-axux,,rytv-g5ui,,0.7707,embedding
4dx7-axux,,tqsy-2s6w,,0.7511,embedding
4dx7-axux,,xxjs-y9yk,,0.8064,embedding
4dx7-axux,,44t3-dj6x,,0.7662,embedding
4dx7-axux,,u7wp-np5k,,0.8114,embedding
4dx7-axux,,gk83-aa6y,,0.7919,embedding
4dx7-axux,,4zdr-zwdi,,0.818,embedding
4dx7-axux,,922w-z7da,,0.7899,embedding
4dx7-axux,,tcwb-nry3,,0.7801,embedding
4dx7-axux,,kwss-yksz,,0.8561,embedding
4dx7-axux,,3we2-bw9s,,0.7541,embedding
4dx7-axux,,inb9-u6nt,,0.7621,embedding
4dx7-axux,,fpeh-f7ci,,0.8036,embedding
4dx7-axux,,wyj6-frpa,,0.8545,embedding
4dx7-axux,,3vyj-dkjt,,0.8398,embedding
4dx7-axux,,qjvp-rnsx,,0.8366,embedding
4dx7-axux,,tcj7-bhry,,0.8575,embedding
4dx7-axux,,83z6-smyr,,0.8412,embedding
4dx7-axux,,yqhh-93zq,,0.7801,embedding
4dx7-axux,,vnz6-h2k4,,0.8261,embedding
4dx7-axux,,qves-4x9c,,0.7851,embedding
4dx7-axux,,af2s-4k4p,,0.7896,embedding
4dx7-axux,,fbkk-n4e3,,0.7668,embedding
4dx7-axux,,6njb-jmjq,,0.8145,embedding
4dx7-axux,,x882-mwt5,,0.7623,embedding
4dx7-axux,,dtmw-avzj,,0.8339,embedding
4dx7-axux,,bdha-6eqy,,0.8,embedding
4dx7-axux,,kgzj-pjna,,0.7733,embedding
4dx7-axux,,8532-9v5k,,0.8397,embedding
4dx7-axux,,pvxf-9irb,,0.8571,embedding
4dx7-axux,,k84j-firu,,0.8416,embedding
4dx7-axux,,dimy-qyej,,0.7629,embedding
4dx7-axux,,cgcg-w2ys,,0.783,embedding
4dx7-axux,,yqky-aebb,,0.846,embedding
4dx7-axux,,6wee-b7wf,,0.835,embedding
4dx7-axux,,vmfm-wic2,,0.8189,embedding
4dx7-axux,,w38c-pyzq,,0.8501,embedding
4dx7-axux,,vgmz-py3h,,0.7549,embedding
4dx7-axux,,f5zq-eacn,,0.7623,embedding
4dx7-axux,,855v-w7mc,,0.8474,embedding
4dx7-axux,,w9zq-xm8b,,0.7791,embedding
4dx7-axux,,brsj-szf5,,0.785,embedding
4dx7-axux,,is5y-7g3y,,0.7726,embedding
4dx7-axux,,wkij-g2bh,,0.7794,embedding
4dx7-axux,,fzy4-e84j,,0.8164,embedding
4dx7-axux,,tzsf-n2j8,,0.8312,embedding
4dx7-axux,,ns8x-qshd,,0.7734,embedding
4dx7-axux,,32rn-zwi7,,0.8173,embedding
4dx7-axux,,2td3-mfek,,0.837,embedding
4dx7-axux,,5mv6-f76y,,0.7582,embedding
4dx7-axux,,eubv-y6cr,,0.8127,embedding
4dx7-axux,,mhyv-6iza,,0.832,embedding
4dx7-axux,,pc3j-jk2d,,0.7578,embedding
4dx7-axux,,dhcf-pcvf,,0.7578,embedding
4dx7-axux,,k3sr-iysq,,0.8398,embedding
4dx7-axux,,xvww-awjk,,0.8338,embedding
4dx7-axux,,8xru-fryn,,0.798,embedding
4dx7-axux,,mc7h-evz7,,0.8007,embedding
4dx7-axux,,gxfj-gcr2,,0.8162,embedding
4dx7-axux,,7wa7-cvt5,,0.823,embedding
4dx7-axux,,aaqu-mkmi,,0.8347,embedding
4dx7-axux,,wn4z-dw55,,0.8326,embedding
4dx7-axux,,it7p-hbtd,,0.7578,embedding
4dx7-axux,,kb2e-tjy3,,0.7646,embedding
4dx7-axux,,g5fd-8j6i,,0.7816,embedding
4dx7-axux,,tm9k-c4na,,0.8149,embedding
4dx7-axux,,9cgq-8a58,,0.7507,embedding
6y5g-5hkj,,exsg-kpya,,0.7509,embedding
6y5g-5hkj,,u42f-se8e,,0.7946,embedding
6y5g-5hkj,,ayx3-dixq,,0.7764,embedding
6y5g-5hkj,,r9ax-4va4,,0.8506,embedding
vvj6-d5qx,,hpid-63r5,,0.919,embedding
kiyv-ks3f,,ji82-xba5,,0.8904,embedding
kiyv-ks3f,,rgyu-ii48,,0.7518,embedding
kiyv-ks3f,,nre2-6m2s,,0.8599,embedding
kiyv-ks3f,,wshr-5vic,,0.8632,embedding
kiyv-ks3f,,d6zx-ckhd,,0.7862,embedding
kiyv-ks3f,,qybk-bjjc,,0.8656,embedding
kiyv-ks3f,,wwhr-5ven,,0.9153,embedding
kiyv-ks3f,,tbgj-tdd6,,0.8222,embedding
kiyv-ks3f,,i4kb-6ab6,,0.8908,embedding
kiyv-ks3f,,ud4g-9x9z,,0.8592,embedding
kiyv-ks3f,,qdq3-9eqn,,0.8148,embedding
kiyv-ks3f,,8vwk-6iz2,,0.7945,embedding
kiyv-ks3f,,rvih-nhyn,,0.8527,embedding
kiyv-ks3f,,ygpa-z7cr,,0.838,embedding
kiyv-ks3f,,hn5i-inap,,0.7757,embedding
kiyv-ks3f,,pkdm-hqz6,,0.8293,embedding
kiyv-ks3f,,tjus-cn27,,0.8846,embedding
kiyv-ks3f,,hjae-yuav,,0.8066,embedding
kiyv-ks3f,,c5vm-g2dk,,0.8101,embedding
kiyv-ks3f,,6kbp-uz6m,,0.8061,embedding
kiyv-ks3f,,w9ei-idxz,,0.8528,embedding
kiyv-ks3f,,v57i-gtxb,,0.7942,embedding
kiyv-ks3f,,4j29-i5ry,,0.8526,embedding
kiyv-ks3f,,bzxi-2tsw,,0.8681,embedding
kiyv-ks3f,,p4u2-3jgx,,0.8413,embedding
kiyv-ks3f,,ssq6-fkht,,0.8806,embedding
kiyv-ks3f,,crns-fw6u,,0.9093,embedding
kiyv-ks3f,,xnfm-u3k5,,0.7985,embedding
kiyv-ks3f,,3ub5-4ph8,,0.8256,embedding
kiyv-ks3f,,9d9t-bmk7,,0.8984,embedding
kiyv-ks3f,,jjja-shxy,,0.808,embedding
kiyv-ks3f,,bi53-yph3,,0.8683,embedding
kiyv-ks3f,,yvxd-uipr,,0.8683,embedding
kiyv-ks3f,,smn3-rzf9,,0.8379,embedding
kiyv-ks3f,,3rfa-3xsf,,0.7816,embedding
kiyv-ks3f,,bsin-59hv,,0.8952,embedding
kiyv-ks3f,,n6c5-95xh,,0.8708,embedding
kiyv-ks3f,,855j-jady,,0.8367,embedding
kiyv-ks3f,,8znf-7b2c,,0.7758,embedding
kiyv-ks3f,,5ery-qagt,,0.9155,embedding
kiyv-ks3f,,fn4k-qyk2,,0.863,embedding
kiyv-ks3f,,8qgy-ka3v,,0.7995,embedding
kiyv-ks3f,,u35m-9t32,,0.8963,embedding
kiyv-ks3f,,iz2q-9x8d,,0.7792,embedding
kiyv-ks3f,,pqg4-dm6b,,0.8483,embedding
kiyv-ks3f,,if26-z6xq,,0.8704,embedding
kiyv-ks3f,,29bw-z7pj,,0.8055,embedding
kiyv-ks3f,,2n4x-d97d,,0.8617,embedding
kiyv-ks3f,,fwpa-qxaf,,0.8083,embedding
kiyv-ks3f,,d4iy-9uh7,,0.9213,embedding
kiyv-ks3f,,xp25-gxux,,0.7873,embedding
kiyv-ks3f,,ycrg-ses3,,0.7829,embedding
kiyv-ks3f,,hg3c-2jsy,,0.8017,embedding
kiyv-ks3f,,bdjm-n7q4,,0.8482,embedding
kiyv-ks3f,,pd5h-92mc,,0.9153,embedding
kiyv-ks3f,,6fi9-q3ta,,0.8035,embedding
kiyv-ks3f,,6smc-7mk6,,0.9195,embedding
kiyv-ks3f,,p78i-pat6,,0.8122,embedding
kiyv-ks3f,,478a-yykk,,0.778,embedding
kiyv-ks3f,,tc6u-8rnp,,0.8946,embedding
kiyv-ks3f,,vz8c-29aj,,0.8597,embedding
kiyv-ks3f,,98b7-th5j,,0.8736,embedding
kiyv-ks3f,,7crd-d9xh,,0.7714,embedding
kiyv-ks3f,,kyad-zm4j,,0.8988,embedding
kiyv-ks3f,,6rrm-vxj9,,0.8453,embedding
kiyv-ks3f,,ncre-qhxs,,0.8257,embedding
kiyv-ks3f,,wzur-rhz9,,0.893,embedding
kiyv-ks3f,,adax-9mit,,0.8604,embedding
kiyv-ks3f,,fc53-9hrv,,0.8255,embedding
kiyv-ks3f,,b9km-gdpy,,0.8312,embedding
kiyv-ks3f,,h2bn-gu9k,,0.7986,embedding
kiyv-ks3f,,dt2z-amuf,,0.8906,embedding
kiyv-ks3f,,sbnd-xujn,,0.848,embedding
kiyv-ks3f,,cmjf-yawu,,0.758,embedding
kiyv-ks3f,,ruf7-3wgc,,0.7506,embedding
kiyv-ks3f,,x9wy-ing4,,0.7794,embedding
kiyv-ks3f,,q5u8-89nv,,0.8456,embedding
kiyv-ks3f,,hu6m-9cfi,,0.8649,embedding
kiyv-ks3f,,kwte-dppd,,0.7862,embedding
kiyv-ks3f,,e5aq-a4j2,,0.7881,embedding
kiyv-ks3f,,inkn-q76z,,0.7977,embedding
kiyv-ks3f,,cts7-vksw,,0.7642,embedding
kiyv-ks3f,,3279-pp7v,,0.8662,embedding
kiyv-ks3f,,bquu-z2ht,,0.8575,embedding
kiyv-ks3f,,fudw-fgrp,,0.76,embedding
kiyv-ks3f,,y9b6-624z,,0.9049,embedding
kiyv-ks3f,,rbed-zzin,,0.792,embedding
kiyv-ks3f,,4kpn-sezh,,0.8685,embedding
kiyv-ks3f,,k5k6-6jex,,0.7638,embedding
kiyv-ks3f,,jdn9-td9w,,0.7792,embedding
kiyv-ks3f,,xck4-5xd5,,0.7943,embedding
kiyv-ks3f,,ubdi-jgw2,,0.883,embedding
kiyv-ks3f,,fgq8-am2v,,0.8048,embedding
kiyv-ks3f,,g76y-dcqj,,0.8054,embedding
kiyv-ks3f,,kwvk-z7i9,,0.8049,embedding
kiyv-ks3f,,6v4b-5gp4,,0.7973,embedding
kiyv-ks3f,,5kqf-fg3n,,0.8214,embedding
kiyv-ks3f,,w76s-c5u4,,0.7884,embedding
kiyv-ks3f,,xx2p-4jnq,,0.8424,embedding
kiyv-ks3f,,a5nd-6mit,,0.7522,embedding
kiyv-ks3f,,qnv7-p7a2,,0.8023,embedding
kiyv-ks3f,,37fm-7uaa,,0.9151,embedding
kiyv-ks3f,,nvgj-hbht,,0.8086,embedding
kiyv-ks3f,,u9wf-3gbt,,0.8069,embedding
kiyv-ks3f,,3kfa-rvez,,0.8246,embedding
kiyv-ks3f,,bvug-v3mm,,0.8594,embedding
kiyv-ks3f,,799n-b76v,,0.8443,embedding
kiyv-ks3f,,ck4n-5h6x,,0.8973,embedding
kiyv-ks3f,,ebkm-iyma,,0.8819,embedding
kiyv-ks3f,,32cj-z7va,,0.7609,embedding
kiyv-ks3f,,j55h-3upk,,0.7776,embedding
kiyv-ks3f,,n8q6-i44s,,0.8519,embedding
kiyv-ks3f,,cp6j-7bjj,,0.8266,embedding
kiyv-ks3f,,de3m-c5p4,,0.8504,embedding
kiyv-ks3f,,esmy-s8q5,,0.859,embedding
kiyv-ks3f,,82zj-84is,,0.8886,embedding
kiyv-ks3f,,gfej-by6h,,0.8571,embedding
kiyv-ks3f,,9n6h-pt9g,,0.7835,embedding
kiyv-ks3f,,pdiy-9ae5,,0.8933,embedding
kiyv-ks3f,,cr93-x2xf,,0.922,embedding
kiyv-ks3f,,uh2s-ftgh,,0.8075,embedding
kiyv-ks3f,,kevu-8hby,,0.7721,embedding
kiyv-ks3f,,5vi6-xdpy,,0.8544,embedding
kiyv-ks3f,,vn4m-mk4t,,0.8847,embedding
kiyv-ks3f,,3as9-uee8,,0.7737,embedding
kiyv-ks3f,,pc34-d3sx,,0.891,embedding
kiyv-ks3f,,8isn-pgv3,,0.767,embedding
kiyv-ks3f,,dpm2-m9mq,,0.7549,embedding
kiyv-ks3f,,w8dz-xpjh,,0.9108,embedding
kiyv-ks3f,,mu46-p9is,,0.8506,embedding
kiyv-ks3f,,cqc8-am9x,,0.8087,embedding
kiyv-ks3f,,y5rm-wagw,,0.8232,embedding
kiyv-ks3f,,e4ej-j6hn,,0.7815,embedding
kiyv-ks3f,,a4qt-mpr5,,0.8589,embedding
kiyv-ks3f,,qxbt-vysj,,0.7561,embedding
kiyv-ks3f,,sqcr-6mww,,0.7816,embedding
kiyv-ks3f,,kuxa-tauh,,0.8767,embedding
kiyv-ks3f,,2bsr-c6qq,,0.8688,embedding
kiyv-ks3f,,quxm-hmyr,,0.866,embedding
kiyv-ks3f,,sp4a-vevi,,0.8541,embedding
kiyv-ks3f,,ju3b-rwpy,,0.7646,embedding
kiyv-ks3f,,ayeb-p4mv,,0.8767,embedding
kiyv-ks3f,,242c-ru4i,,0.8457,embedding
kiyv-ks3f,,u553-m549,,0.8399,embedding
kiyv-ks3f,,g9jx-npbk,,0.8533,embedding
kiyv-ks3f,,9hxz-c2kj,,0.9101,embedding
kiyv-ks3f,,76ig-c548,,0.8008,embedding
kiyv-ks3f,,cwy2-px8b,,0.8409,embedding
kiyv-ks3f,,m8p6-tp4b,,0.7721,embedding
kiyv-ks3f,,9z9b-6hvk,,0.845,embedding
kiyv-ks3f,,hxbk-grd3,,0.8005,embedding
kiyv-ks3f,,xw3j-2yxf,,0.8526,embedding
kiyv-ks3f,,r528-jcks,,0.7731,embedding
kiyv-ks3f,,dy27-rrad,,0.9108,embedding
kiyv-ks3f,,ibs4-k445,,0.8728,embedding
kiyv-ks3f,,cm6g-t7ye,,0.8088,embedding
kiyv-ks3f,,nk7g-qeep,,0.883,embedding
kiyv-ks3f,,6anw-twe4,,0.8817,embedding
kiyv-ks3f,,8kuj-2n3u,,0.8061,embedding
kiyv-ks3f,,f264-qcv3,,0.8792,embedding
kiyv-ks3f,,8fei-z6rz,,0.7902,embedding
kiyv-ks3f,,bheb-sjfi,,0.9105,embedding
kiyv-ks3f,,gkgs-za6m,,0.8802,embedding
kiyv-ks3f,,f9wb-g8mb,,0.7584,embedding
kiyv-ks3f,,bf97-mjsy,,0.8638,embedding
kiyv-ks3f,,kyvb-rbwd,,0.7604,embedding
kiyv-ks3f,,buk3-3qpr,,0.8282,embedding
kiyv-ks3f,,b4mf-rg6h,,0.813,embedding
kiyv-ks3f,,2w2g-fk3i,,0.7819,embedding
kiyv-ks3f,,3r2x-bnmj,,0.833,embedding
kiyv-ks3f,,wycc-5aqt,,0.8807,embedding
kiyv-ks3f,,qm5f-frjb,,0.8157,embedding
kiyv-ks3f,,rear-wh5i,,0.8453,embedding
kiyv-ks3f,,i595-2byq,,0.9056,embedding
kiyv-ks3f,,did2-qzw3,,0.7739,embedding
kiyv-ks3f,,itd7-gx3g,,0.7845,embedding
kiyv-ks3f,,im9z-53hg,,0.7606,embedding
kiyv-ks3f,,urik-ndeg,,0.7571,embedding
kiyv-ks3f,,uzcy-9puk,,0.7816,embedding
kiyv-ks3f,,hyur-qpyf,,0.8664,embedding
kiyv-ks3f,,56u5-n9sa,,0.8814,embedding
kiyv-ks3f,,jqfp-uff7,,0.7758,embedding
kiyv-ks3f,,x4ud-jhxu,,0.8774,embedding
kiyv-ks3f,,5694-9szk,,0.9,embedding
kiyv-ks3f,,7u63-ib3x,,0.782,embedding
kiyv-ks3f,,edk2-vkjh,,0.8269,embedding
kiyv-ks3f,,w49t-5gha,,0.8456,embedding
kiyv-ks3f,,ghu2-eden,,0.8717,embedding
kiyv-ks3f,,d83i-6us7,,0.8869,embedding
kiyv-ks3f,,mk9u-qu7i,,0.8727,embedding
kiyv-ks3f,,592z-n7dk,,0.8537,embedding
kiyv-ks3f,,5ziv-wcy4,,0.8578,embedding
kiyv-ks3f,,xhvt-s4va,,0.7647,embedding
kiyv-ks3f,,exsg-kpya,,0.8566,embedding
kiyv-ks3f,,k65y-fzgq,,0.8999,embedding
kiyv-ks3f,,uxsz-6j5j,,0.8782,embedding
kiyv-ks3f,,t8xi-d5wb,,0.7742,embedding
kiyv-ks3f,,48pb-zy2g,,0.9079,embedding
kiyv-ks3f,,feuq-due4,,0.8886,embedding
kiyv-ks3f,,8wi4-bsy4,,0.8736,embedding
kiyv-ks3f,,bvna-6j7v,,0.8824,embedding
kiyv-ks3f,,cpcm-i88g,,0.826,embedding
kiyv-ks3f,,uf93-f8nk,,0.7812,embedding
kiyv-ks3f,,sxmw-f24h,,0.7816,embedding
kiyv-ks3f,,56e3-rp8d,,0.8411,embedding
kiyv-ks3f,,hy4q-igkk,,0.7816,embedding
kiyv-ks3f,,xpbf-ithr,,0.8611,embedding
kiyv-ks3f,,2z24-2htf,,0.8093,embedding
kiyv-ks3f,,3gkd-ddzn,,0.8539,embedding
kiyv-ks3f,,aiww-p3af,,0.7816,embedding
kiyv-ks3f,,g3xg-qtbc,,0.7737,embedding
kiyv-ks3f,,shpd-5q9m,,0.9048,embedding
kiyv-ks3f,,tfbb-gszk,,0.8938,embedding
kiyv-ks3f,,yhdx-itry,,0.8512,embedding
kiyv-ks3f,,qrb4-aqtx,,0.9229,embedding
kiyv-ks3f,,ufxk-pq9j,,0.8174,embedding
kiyv-ks3f,,3bkg-usya,,0.8644,embedding
kiyv-ks3f,,fn6f-htvy,,0.8194,embedding
kiyv-ks3f,,rjkp-yttg,,0.7934,embedding
kiyv-ks3f,,a94k-kjys,,0.8671,embedding
kiyv-ks3f,,sh4i-rsb8,,0.7536,embedding
kiyv-ks3f,,mf9g-zhbw,,0.8748,embedding
kiyv-ks3f,,r4c5-ndkx,,0.8029,embedding
kiyv-ks3f,,gy3q-4tzp,,0.8288,embedding
kiyv-ks3f,,5npv-j6gn,,0.8193,embedding
kiyv-ks3f,,wed3-5i35,,0.7556,embedding
kiyv-ks3f,,aqqw-n6ec,,0.7642,embedding
kiyv-ks3f,,skyk-mpzq,,0.7671,embedding
kiyv-ks3f,,tzuk-eq2f,,0.807,embedding
kiyv-ks3f,,esmb-8zkm,,0.8122,embedding
kiyv-ks3f,,6qs8-44ki,,0.7586,embedding
kiyv-ks3f,,xrwg-eczf,,0.809,embedding
kiyv-ks3f,,bug8-9f3g,,0.8218,embedding
kiyv-ks3f,,sejx-2gn3,,0.8114,embedding
kiyv-ks3f,,98wc-x49t,,0.7558,embedding
kiyv-ks3f,,ruu9-egea,,0.8095,embedding
kiyv-ks3f,,a3nt-yts4,,0.8817,embedding
kiyv-ks3f,,ybdk-jmnn,,0.8879,embedding
kiyv-ks3f,,78sp-6jhj,,0.7862,embedding
kiyv-ks3f,,pwts-g83w,,0.8697,embedding
kiyv-ks3f,,rsnd-bbih,,0.8719,embedding
kiyv-ks3f,,r465-fr2q,,0.8356,embedding
kiyv-ks3f,,br6q-ssj3,,0.8401,embedding
kiyv-ks3f,,97zg-4p9t,,0.9062,embedding
kiyv-ks3f,,bbtf-6p3c,,0.8458,embedding
kiyv-ks3f,,5dck-9m6g,,0.8267,embedding
kiyv-ks3f,,37it-gmcp,,0.7884,embedding
kiyv-ks3f,,qy7q-cb9e,,0.917,embedding
kiyv-ks3f,,5ar6-qxhs,,0.9107,embedding
kiyv-ks3f,,6pwv-zmgh,,0.8421,embedding
kiyv-ks3f,,b4dv-8mq4,,0.8504,embedding
kiyv-ks3f,,ygfr-ij6t,,0.7775,embedding
kiyv-ks3f,,t95h-5fsr,,0.7591,embedding
kiyv-ks3f,,xphq-immx,,0.8692,embedding
kiyv-ks3f,,h4mf-f24e,,0.8621,embedding
kiyv-ks3f,,9umc-3b2y,,0.8612,embedding
kiyv-ks3f,,iaig-3vs5,,0.8947,embedding
kiyv-ks3f,,t26j-jbq7,,0.7819,embedding
kiyv-ks3f,,cmni-fvnx,,0.8543,embedding
kiyv-ks3f,,urzf-q2g5,,0.8867,embedding
kiyv-ks3f,,rma9-fm39,,0.8774,embedding
kiyv-ks3f,,5bgh-vtsn,,0.8066,embedding
kiyv-ks3f,,p5md-weyf,,0.8298,embedding
kiyv-ks3f,,buis-pvji,,0.7606,embedding
kiyv-ks3f,,d54t-ywim,,0.8507,embedding
kiyv-ks3f,,68k5-hdzw,,0.7696,embedding
kiyv-ks3f,,by6m-6zpb,,0.7786,embedding
kiyv-ks3f,,pvvr-75zk,,0.7635,embedding
kiyv-ks3f,,8s5k-n45n,,0.8421,embedding
kiyv-ks3f,,hv9n-xgy4,,0.8203,embedding
kiyv-ks3f,,xggi-kgx9,,0.9018,embedding
kiyv-ks3f,,5xsi-dfpx,,0.8059,embedding
kiyv-ks3f,,pfn4-vjwr,,0.8589,embedding
kiyv-ks3f,,xesp-yqsx,,0.7625,embedding
kiyv-ks3f,,ig76-wwag,,0.7817,embedding
kiyv-ks3f,,t474-a92g,,0.7925,embedding
kiyv-ks3f,,v8i9-yfpr,,0.8596,embedding
kiyv-ks3f,,ijwa-mn2v,,0.7719,embedding
kiyv-ks3f,,ge8j-uqbf,,0.7639,embedding
kiyv-ks3f,,wswf-9pts,,0.7635,embedding
kiyv-ks3f,,67g2-p84d,,0.89,embedding
kiyv-ks3f,,2er2-jqsx,,0.8432,embedding
kiyv-ks3f,,cfzn-4iza,,0.7808,embedding
kiyv-ks3f,,tvfr-dhen,,0.7947,embedding
kiyv-ks3f,,gshi-yqza,,0.7709,embedding
kiyv-ks3f,,66yh-nemi,,0.8791,embedding
kiyv-ks3f,,qxzj-vkn2,,0.8551,embedding
kiyv-ks3f,,64pa-8bza,,0.7556,embedding
kiyv-ks3f,,auuc-fqzi,,0.9105,embedding
kiyv-ks3f,,xqmg-7z3j,,0.7599,embedding
kiyv-ks3f,,qexa-qpj6,,0.7787,embedding
kiyv-ks3f,,t4f2-8md7,,0.8195,embedding
kiyv-ks3f,,uwx4-aafe,,0.7503,embedding
kiyv-ks3f,,ckaz-6gaa,,0.7802,embedding
kiyv-ks3f,,8gpu-s594,,0.8341,embedding
kiyv-ks3f,,r8mb-budb,,0.767,embedding
kiyv-ks3f,,tkzt-zfpz,,0.7541,embedding
kiyv-ks3f,,eyb2-p5s8,,0.8228,embedding
kiyv-ks3f,,f72e-3i4c,,0.8925,embedding
kiyv-ks3f,,uwmn-v7un,,0.7921,embedding
kiyv-ks3f,,3spy-rjpw,,0.8714,embedding
kiyv-ks3f,,kcrr-myj9,,0.7858,embedding
kiyv-ks3f,,xip9-pe9k,,0.7738,embedding
kiyv-ks3f,,9f5n-qdib,,0.8797,embedding
kiyv-ks3f,,fp78-wt5b,,0.849,embedding
kiyv-ks3f,,7su9-xgtn,,0.9344,embedding
kiyv-ks3f,,i2y3-sx2e,,0.7998,embedding
kiyv-ks3f,,uebm-cmjr,,0.7558,embedding
kiyv-ks3f,,8z5h-tzdr,,0.8731,embedding
kiyv-ks3f,,29km-avyc,,0.8653,embedding
kiyv-ks3f,,ibip-ftv5,,0.767,embedding
kiyv-ks3f,,hxx3-bwgv,,0.8566,embedding
kiyv-ks3f,,yj3u-pw36,,0.8915,embedding
kiyv-ks3f,,i5n2-q8ck,,0.7753,embedding
kiyv-ks3f,,tsy7-gcm8,,0.92,embedding
kiyv-ks3f,,jup5-7fik,,0.7946,embedding
kiyv-ks3f,,p36g-evi5,,0.8684,embedding
kiyv-ks3f,,xffd-vsgf,,0.7578,embedding
kiyv-ks3f,,mdgu-ar69,,0.8351,embedding
kiyv-ks3f,,gnyq-kf2y,,0.8493,embedding
kiyv-ks3f,,yv4m-nu6d,,0.8646,embedding
kiyv-ks3f,,jign-uhe6,,0.8785,embedding
kiyv-ks3f,,c6ph-pcpz,,0.7733,embedding
kiyv-ks3f,,kpjg-ubxi,,0.8067,embedding
kiyv-ks3f,,dx24-9ef7,,0.7728,embedding
